Gene	"Gene synonym"	"Gene description"
ADORA2A	"ADORA2, RDC8"	"Adenosine A2a receptor"
ADORA2B		"Adenosine A2b receptor"
ADORA3	AD026	"Adenosine A3 receptor"
ADRA1A	"ADRA1C, ADRA1L1"	"Adrenoceptor alpha 1A"
ADRA1D	"ADRA1, ADRA1A, ADRA1R"	"Adrenoceptor alpha 1D"
ADRB3		"Adrenoceptor beta 3"
AFF2	"FMR2, FRAXE"	"AF4/FMR2 family member 2"
AGBL4	"CCP6, FLJ14442"	"ATP/GTP binding protein like 4"
AGTPBP1	"CCP1, KIAA1035, Nna1"	"ATP/GTP binding protein 1"
AHCYL1	"IRBIT, PPP1R78, XPVKONA"	"Adenosylhomocysteinase like 1"
AHSA1	"Aha1, C14orf3, hAha1, p38"	"Activator of HSP90 ATPase activity 1"
AIF1L	"C9orf58, FLJ12783, IBA2"	"Allograft inflammatory factor 1 like"
AJAP1	"MOT8, SHREW-1, SHREW1"	"Adherens junctions associated protein 1"
AJM1	"ajm-1, C9orf172"	"Apical junction component 1 homolog"
AKAIN1	C18orf42	"A-kinase anchor inhibitor 1"
AKAP6	"ADAP6, AKAP100, KIAA0311, mAKAP, PRKA6"	"A-kinase anchoring protein 6"
AKT3	"PKBG, PRKBG, RAC-gamma"	"AKT serine/threonine kinase 3"
AL031315.1		"Novel protein"
AL035699.1		"Novel protein"
AL139011.2		"Novel protein"
AL354822.1		
AL355916.3		"Novel protein"
AL359092.3		"Novel protein"
AL391987.2		
AL441992.2		"Kynurenine aminotransferase 1"
AL589987.1		"Novel protein (LOC389895)"
AL627230.1		
AL713999.1		"Novel protein"
ALDOC		"Aldolase, fructose-bisphosphate C"
ALG1L2		"ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase like 2"
ANK2	"CFAP87, FAP87, LQT4"	"Ankyrin 2"
ANKFN1	FLJ38335	"Ankyrin repeat and fibronectin type III domain containing 1"
ANKIB1	"DKFZP434A0225, KIAA1386"	"Ankyrin repeat and IBR domain containing 1"
ANKRD18A	"FLJ35740, KIAA2015"	"Ankyrin repeat domain 18A"
ANKRD20A1	"ANKRD20A, DKFZp434A171"	"Ankyrin repeat domain 20 family member A1"
ANKRD20A2P	ANKRD20A2	"Ankyrin repeat domain 20 family member A2, pseudogene"
ANKRD20A4P	ANKRD20A4	"Ankyrin repeat domain 20 family member A4, pseudogene"
ANKRD24	KIAA1981	"Ankyrin repeat domain 24"
ANKRD33B		"Ankyrin repeat domain 33B"
ANKRD34A	ANKRD34	"Ankyrin repeat domain 34A"
ANKRD36	UNQ2430	"Ankyrin repeat domain 36"
ANKRD36C	DKFZp667P0924	"Ankyrin repeat domain 36C"
ANKRD40	MGC15396	"Ankyrin repeat domain 40"
ANKRD6	KIAA0957	"Ankyrin repeat domain 6"
ANO4	"FLJ34221, FLJ34272, FLJ35277, TMEM16D"	"Anoctamin 4"
AP000471.1		"Novel protein"
AP002748.5		"Novel protein"
AP006621.6		"Proapoptotic nucleolar protein 1"
AP3B2	NAPTB	"Adaptor related protein complex 3 subunit beta 2"
APBA1	"D9S411E, MINT1, X11"	"Amyloid beta precursor protein binding family A member 1"
APBA2	"D15S1518E, HsT16821, LIN-10, MGC:14091, MINT2, X11L"	"Amyloid beta precursor protein binding family A member 2"
APBB1	"Fe65, RIR"	"Amyloid beta precursor protein binding family B member 1"
APBB2	"FE65L, FE65L1, MGC35575"	"Amyloid beta precursor protein binding family B member 2"
APC	"DP2, DP2.5, DP3, PPP1R46"	"APC regulator of WNT signaling pathway"
APLN	"apelin, XNPEP2"	Apelin
ARAP2	"CENTD1, PARX"	"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2"
ARFGEF3	"BIG3, C6orf92, dJ171N11.1, KIAA1244, PPP1R33"	"ARFGEF family member 3"
ARGFX		"Arginine-fifty homeobox"
ARHGAP21	"ARHGAP10, KIAA1424"	"Rho GTPase activating protein 21"
ARHGAP22	RhoGAP2	"Rho GTPase activating protein 22"
ARHGAP23	KIAA1501	"Rho GTPase activating protein 23"
ARHGAP44	"KIAA0672, RICH-2, RICH2"	"Rho GTPase activating protein 44"
ARHGDIG	RHOGDI-3	"Rho GDP dissociation inhibitor gamma"
ARHGEF33		"Rho guanine nucleotide exchange factor 33"
ARHGEF4	"ASEF, KIAA1112, STM6"	"Rho guanine nucleotide exchange factor 4"
ARMH4	"C14orf37, UT2"	"Armadillo like helical domain containing 4"
ARPP19	"ARPP-16, ARPP-19, ARPP16, ENSAL"	"CAMP regulated phosphoprotein 19"
ARPP21	"ARPP-21, R3HDM3, TARPP"	"CAMP regulated phosphoprotein 21"
ARRDC4	FLJ36045	"Arrestin domain containing 4"
ARSF		"Arylsulfatase F"
ARX	"CT121, EIEE1, ISSX, MRX29, MRX32, MRX33, MRX36, MRX38, MRX43, MRX54, MRX76, MRX87, MRXS1, PRTS"	"Aristaless related homeobox"
ASCL1	"ASH1, bHLHa46, HASH1"	"Achaete-scute family bHLH transcription factor 1"
ASIC1	"ACCN2, BNaC2, hBNaC2"	"Acid sensing ion channel subunit 1"
ASPA	"ACY2, ASP"	Aspartoacylase
ASPDH		"Aspartate dehydrogenase domain containing"
ASPHD2	FLJ39838	"Aspartate beta-hydroxylase domain containing 2"
ASRGL1	"ALP, ALP1, FLJ22316"	"Asparaginase and isoaspartyl peptidase 1"
ASTN1	ASTN	"Astrotactin 1"
ASTN2	KIAA0634	"Astrotactin 2"
ATAD3C	FLJ34599	"ATPase family AAA domain containing 3C"
ATF7-NPFF		"ATF7-NPFF readthrough"
ATL1	"AD-FSP, FSP1, SPG3, SPG3A"	"Atlastin GTPase 1"
ATOH7	"bHLHa13, Math5"	"Atonal bHLH transcription factor 7"
ATP10A	"ATP10C, ATPVA, ATPVC, KIAA0566"	"ATPase phospholipid transporting 10A (putative)"
ATP10B	"ATPVB, FLJ21477, KIAA0715"	"ATPase phospholipid transporting 10B (putative)"
ATP13A2	"CLN12, HSA9947, PARK9"	"ATPase cation transporting 13A2"
ATP1A2	"FHM2, MHP2"	"ATPase Na+/K+ transporting subunit alpha 2"
ATP1A3	DYT12	"ATPase Na+/K+ transporting subunit alpha 3"
ATP2B2	PMCA2	"ATPase plasma membrane Ca2+ transporting 2"
ATP5MGL	"ATP5K2, ATP5L2, dJ222E13.5"	"ATP synthase membrane subunit g like"
ATP6V0E2	"ATP6V0E2L, C7orf32"	"ATPase H+ transporting V0 subunit e2"
ATP6V1FNB		"ATP6V1F neighbor"
ATP8A1	ATPIA	"ATPase phospholipid transporting 8A1"
ATP9A	"ATPIIA, KIAA0611"	"ATPase phospholipid transporting 9A (putative)"
AUTS2	"FBRSL2, KIAA0442"	"Activator of transcription and developmental regulator AUTS2"
B3GALT1	beta3Gal-T1	"Beta-1,3-galactosyltransferase 1"
B3GALT2	beta3Gal-T2	"Beta-1,3-galactosyltransferase 2"
B3GAT2	GlcAT-S	"Beta-1,3-glucuronyltransferase 2"
B3GNT4	"B3GN-T4, beta3Gn-T4"	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4"
B4GALNT4	"FLJ25045, NGalNAc-T1"	"Beta-1,4-N-acetyl-galactosaminyltransferase 4"
B4GAT1	"B3GN-T1, B3GNT1, B3GNT6, BETA3GNTI, iGAT, iGNT"	"Beta-1,4-glucuronyltransferase 1"
BAG3		"BAG cochaperone 3"
BCAS1	"AIBC1, NABC1, PMES-2"	"Brain enriched myelin associated protein 1"
BCL11A	"BCL11A-L, BCL11A-S, BCL11A-XL, CTIP1, EVI9, HBFQTL5, ZNF856"	"BAF chromatin remodeling complex subunit BCL11A"
BCR	"ALL, BCR1, CML, D22S11, D22S662, PHL"	"BCR activator of RhoGEF and GTPase"
BDNF		"Brain derived neurotrophic factor"
BEAN1	SCA31	"Brain expressed associated with NEDD4 1"
BEGAIN	KIAA1446	"Brain enriched guanylate kinase associated"
BEND4	"CCDC4, FLJ35632, FLJ43965"	"BEN domain containing 4"
BEST1	"BEST, BMD, RP50, VMD2"	"Bestrophin 1"
BEX1		"Brain expressed X-linked 1"
BEX5	NGFRAP1L1	"Brain expressed X-linked 5"
BICD1		"BICD cargo adaptor 1"
BLACAT1	"linc-UBC1, LINC00912, onco-lncRNA-30"	"Bladder cancer associated transcript 1"
BMP7	OP-1	"Bone morphogenetic protein 7"
BMP8B	"BMP8, OP-2"	"Bone morphogenetic protein 8b"
BMPR1B	"ALK6, CDw293"	"Bone morphogenetic protein receptor type 1B"
BOK	"BCL2L9, BOKL, MGC4631"	"BCL2 family apoptosis regulator BOK"
BRINP2	"DBCCR1L2, FAM5B"	"BMP/retinoic acid inducible neural specific 2"
BRINP3	"DBCCR1L, DBCCR1L1, FAM5C"	"BMP/retinoic acid inducible neural specific 3"
BSCL2	"GNG3LG, seipin, SPG17"	"BSCL2 lipid droplet biogenesis associated, seipin"
BTBD3	"dJ742J24.1, KIAA0952"	"BTB domain containing 3"
BX004987.1		
C12orf76	FLJ40142	"Chromosome 12 open reading frame 76"
C14orf132	C14orf88	"Chromosome 14 open reading frame 132"
C16orf92	FLJ25404	"Chromosome 16 open reading frame 92"
C1orf198	"DKFZp667D152, FLJ14525, FLJ16283, FLJ38847, MGC10710"	"Chromosome 1 open reading frame 198"
C1orf216	FLJ38984	"Chromosome 1 open reading frame 216"
C1QTNF4	"CTRP4, ZACRP4"	"C1q and TNF related 4"
C1QTNF9B	CTRP9B	"C1q and TNF related 9B"
C20orf204	"DKFZp434G015, FLJ27267, LINC00176, NCRNA00176, PRR17"	"Chromosome 20 open reading frame 204"
C21orf91	"C21orf14, C21orf38, CSSG1, EURL, YG81"	"Chromosome 21 open reading frame 91"
C2CD4C	"FAM148C, KIAA1957, NLF3"	"C2 calcium dependent domain containing 4C"
C2CD4D	FAM148D	"C2 calcium dependent domain containing 4D"
C2orf66	UNQ6411	"Chromosome 2 open reading frame 66"
C3orf49		"Chromosome 3 open reading frame 49"
C3orf70		"Chromosome 3 open reading frame 70"
C4orf48		"Chromosome 4 open reading frame 48"
C6orf118	"bA85G2.1, MGC23884"	"Chromosome 6 open reading frame 118"
C7orf57		"Chromosome 7 open reading frame 57"
C8orf34	"vest-1, VEST1"	"Chromosome 8 open reading frame 34"
CA10	"CA-RPX, CARPX, HUCEP-15"	"Carbonic anhydrase 10"
CA8	"CALS, CARP"	"Carbonic anhydrase 8"
CABLES1	"FLJ35924, HsT2563"	"Cdk5 and Abl enzyme substrate 1"
CACNA1B	"CACNL1A5, CACNN, Cav2.2"	"Calcium voltage-gated channel subunit alpha1 B"
CACNA1D	"CACH3, CACN4, CACNL1A2, Cav1.3, CCHL1A2"	"Calcium voltage-gated channel subunit alpha1 D"
CACNA1G	"Cav3.1, NBR13"	"Calcium voltage-gated channel subunit alpha1 G"
CACNA1I	Cav3.3	"Calcium voltage-gated channel subunit alpha1 I"
CACNA2D3	HSA272268	"Calcium voltage-gated channel auxiliary subunit alpha2delta 3"
CACNB3	CACNLB3	"Calcium voltage-gated channel auxiliary subunit beta 3"
CACYBP	"S100A6BP, SIP"	"Calcyclin binding protein"
CADM3	"BIgR, FLJ10698, IGSF4B, Necl-1, NECL1, SynCAM3, TSLL1"	"Cell adhesion molecule 3"
CADM4	"IGSF4C, Necl-4, SynCAM4, TSLL2"	"Cell adhesion molecule 4"
CADPS	"CAPS, CAPS1, KIAA1121, UNC-31"	"Calcium dependent secretion activator"
CADPS2	CAPS2	"Calcium dependent secretion activator 2"
CALB2	CAL2	"Calbindin 2"
CALCR	CTR	"Calcitonin receptor"
CALHM1	FAM26C	"Calcium homeostasis modulator 1"
CALM3	PHKD	"Calmodulin 3"
CAMK2B	"CAM2, CAMK2, CAMKB, CaMKIIÃŽÂ²"	"Calcium/calmodulin dependent protein kinase II beta"
CAMK2N1	CaMKIINalpha	"Calcium/calmodulin dependent protein kinase II inhibitor 1"
CAMKK1	"CAMKKA, DKFZp761M0423, MGC34095"	"Calcium/calmodulin dependent protein kinase kinase 1"
CAMKK2	"CAMKK, CAMKKB, KIAA0787, MGC15254"	"Calcium/calmodulin dependent protein kinase kinase 2"
CAPN3	"CANP3, LGMD2, LGMD2A, nCL-1, p94"	"Calpain 3"
CAPRIN2	"C1QDC1, caprin-2, EEG1, FLJ11391, FLJ22569, RNG140"	"Caprin family member 2"
CARMIL2	"LRRC16C, RLTPR"	"Capping protein regulator and myosin 1 linker 2"
CASP8AP2	"CED-4, FLASH, FLJ11208, KIAA1315, RIP25"	"Caspase 8 associated protein 2"
CATSPER2		"Cation channel sperm associated 2"
CBARP	"BARP, C19orf26, DOS, MGC40084"	"CACN subunit beta associated regulatory protein"
CBFA2T3	"ETO2, MTG16, MTGR2, RUNX1T3, ZMYND4"	"CBFA2/RUNX1 partner transcriptional co-repressor 3"
CBLN4	"CBLNL1, dJ885A10.1"	"Cerebellin 4 precursor"
CBX6		"Chromobox 6"
CCDC184	"C12orf68, LOC387856"	"Coiled-coil domain containing 184"
CCDC85A	KIAA1912	"Coiled-coil domain containing 85A"
CCDC85C		"Coiled-coil domain containing 85C"
CCDC88A	"APE, FLJ10392, GIV, GRDN, HkRP1, KIAA1212"	"Coiled-coil domain containing 88A"
CCKAR		"Cholecystokinin A receptor"
CCNI2	FLJ16793	"Cyclin I family member 2"
CCNJL	FLJ14166	"Cyclin J like"
CCNP	"CNTD2, FLJ13265"	"Cyclin P"
CCP110	"CP110, KIAA0419"	"Centriolar coiled-coil protein 110"
CCSAP	"C1orf96, CSAP, FLJ41471"	"Centriole, cilia and spindle associated protein"
CD22	"SIGLEC-2, SIGLEC2"	"CD22 molecule"
CD8B2	CD8BP	"CD8b2 molecule"
CDC14B	"Cdc14B1, Cdc14B2, CDC14B3, hCDC14B"	"Cell division cycle 14B"
CDH12	"Br-cadherin, CDHB"	"Cadherin 12"
CDH19	CDH7	"Cadherin 19"
CDH23	"CDHR23, DFNB12, USH1D"	"Cadherin related 23"
CDH9		"Cadherin 9"
CDK18	"PCTAIRE3, PCTK3"	"Cyclin dependent kinase 18"
CDK19	"bA346C16.3, CDC2L6, CDK11, KIAA1028"	"Cyclin dependent kinase 19"
CDK5	PSSALRE	"Cyclin dependent kinase 5"
CDKL2	"KKIAMRE, P56"	"Cyclin dependent kinase like 2"
CDR2L	HUMPPA	"Cerebellar degeneration related protein 2 like"
CDYL2	FLJ38866	"Chromodomain Y like 2"
CECR2	KIAA1740	"CECR2 histone acetyl-lysine reader"
CELF3	"BRUNOL1, CAGH4, ERDA4, MGC57297, TNRC4"	"CUGBP Elav-like family member 3"
CELSR2	"ADGRC2, CDHF10, EGFL2, Flamingo1, KIAA0279, MEGF3"	"Cadherin EGF LAG seven-pass G-type receptor 2"
CENPVL2	CENPVP2	"Centromere protein V like 2"
CERCAM	"CEECAM1, GLT25D3"	"Cerebral endothelial cell adhesion molecule"
CFAP157	C9orf117	"Cilia and flagella associated protein 157"
CFAP47	"CHDC2, CXorf22, CXorf30, CXorf59, FLJ36601, MGC34831, RP13-11B7.1"	"Cilia and flagella associated protein 47"
CFAP52	"FLJ37528, WDR16, WDRPUH"	"Cilia and flagella associated protein 52"
CFAP54	"C12orf55, C12orf63, FLJ31514, FLJ44112"	"Cilia and flagella associated protein 54"
CFAP65	"CCDC108, DKFZp434O0527, MGC35338"	"Cilia and flagella associated protein 65"
CFAP97D2		"CFAP97 domain containing 2"
CFC1	"CRYPTIC, HTX2"	"Cripto, FRL-1, cryptic family 1"
CGREF1	CGR11	"Cell growth regulator with EF-hand domain 1"
CHD7	"CRG, FLJ20357, FLJ20361, KIAA1416"	"Chromodomain helicase DNA binding protein 7"
CHI3L1	"GP39, YK-40, YKL40"	"Chitinase 3 like 1"
CHL1	"CALL, FLJ44930, L1CAM2, MGC132578"	"Cell adhesion molecule L1 like"
CHN2	"ARHGAP3, RhoGAP3"	"Chimerin 2"
CHODL	"C21orf68, FLJ12627, MT75, PRED12"	Chondrolectin
CHORDC1	"CHP-1, CHP1"	"Cysteine and histidine rich domain containing 1"
CHRM3		"Cholinergic receptor muscarinic 3"
CHRNA4	"BFNC, EBN, EBN1"	"Cholinergic receptor nicotinic alpha 4 subunit"
CHRNB2		"Cholinergic receptor nicotinic beta 2 subunit"
CHST1	"C6ST, KSGal6ST"	"Carbohydrate sulfotransferase 1"
CHST10	HNK-1ST	"Carbohydrate sulfotransferase 10"
CHST2	C6ST	"Carbohydrate sulfotransferase 2"
CHST6	MCDC1	"Carbohydrate sulfotransferase 6"
CIT	"CITK, CRIK, KIAA0949, STK21"	"Citron rho-interacting serine/threonine kinase"
CKB	CKBB	"Creatine kinase B"
CKMT1B	"CKMT, CKMT1, UMTCK"	"Creatine kinase, mitochondrial 1B"
CLASP2	KIAA0627	"Cytoplasmic linker associated protein 2"
CLCN4	"ClC-4, CLC4"	"Chloride voltage-gated channel 4"
CLDN11	"OSP, OTM"	"Claudin 11"
CLDN20		"Claudin 20"
CLDN6		"Claudin 6"
CLDN9		"Claudin 9"
CLEC19A		"C-type lectin domain containing 19A"
CLEC2L	FLJ32986	"C-type lectin domain family 2 member L"
CLEC3A	CLECSF1	"C-type lectin domain family 3 member A"
CLIP2	"CLIP, CLIP-115, CYLN2, KIAA0291, WBSCR3, WBSCR4, WSCR3, WSCR4"	"CAP-Gly domain containing linker protein 2"
CLIP3	"CLIPR-59, RSNL1"	"CAP-Gly domain containing linker protein 3"
CLMN	"FLJ12383, KIAA0500, KIAA1188"	Calmin
CLU	"APOJ, CLI, CLU1, CLU2, KUB1, SGP-2, SP-40, TRPM-2"	Clusterin
CLVS1	"C6orf212L, CRALBPL, MGC34646, RLBP1L1"	"Clavesin 1"
CMPK2	"NDK, TYKi, UMP-CMPK2"	"Cytidine/uridine monophosphate kinase 2"
CMTM4	CKLFSF4	"CKLF like MARVEL transmembrane domain containing 4"
CNGA3	"ACHM2, CCNC1, CCNCa, CNCG3, CNG3"	"Cyclic nucleotide gated channel subunit alpha 3"
CNMD	"BRICD3, CHM-I, CHM1, LECT1, MYETS1"	Chondromodulin
CNNM1	ACDP1	"Cyclin and CBS domain divalent metal cation transport mediator 1"
CNR1	"CANN6, CB-R, CB1, CB1A, CB1K5, CNR"	"Cannabinoid receptor 1"
CNRIP1	"C2orf32, CRIP1, CRIP1a, CRIP1b, DKFZP566K1924"	"Cannabinoid receptor interacting protein 1"
CNTF	HCNTF	"Ciliary neurotrophic factor"
CNTFR		"Ciliary neurotrophic factor receptor"
CNTN1	"F3, GP135"	"Contactin 1"
CNTN3	"BIG-1, PANG"	"Contactin 3"
CNTN5	"hNB-2, NB-2"	"Contactin 5"
CNTN6	NB-3	"Contactin 6"
CNTNAP1	"Caspr, CNTNAP, NRXN4, p190"	"Contactin associated protein 1"
CNTNAP3C		"Contactin associated protein family member 3C"
COBL	KIAA0633	"Cordon-bleu WH2 repeat protein"
COL10A1		"Collagen type X alpha 1 chain"
COL19A1		"Collagen type XIX alpha 1 chain"
COL24A1		"Collagen type XXIV alpha 1 chain"
COL25A1		"Collagen type XXV alpha 1 chain"
COL26A1	"EMI6, EMID2, Emu2"	"Collagen type XXVI alpha 1 chain"
COL4A5	"ASLN, ATS"	"Collagen type IV alpha 5 chain"
COL9A2	"EDM2, MED"	"Collagen type IX alpha 2 chain"
COL9A3	"DJ885L7.4.1, EDM3, FLJ90759, IDD, MED"	"Collagen type IX alpha 3 chain"
CORO2B	"ClipinC, KIAA0925"	"Coronin 2B"
CPAMD8	"K-CAP, KIAA1283, VIP"	"C3 and PZP like alpha-2-macroglobulin domain containing 8"
CPE		"Carboxypeptidase E"
CPEB1	"CPEB, FLJ13203"	"Cytoplasmic polyadenylation element binding protein 1"
CPLX2	"CPX-2, DKFZp547D155"	"Complexin 2"
CPNE2	CPN2	"Copine 2"
CPNE5	"COPN5, CPN5, KIAA1599"	"Copine 5"
CPNE6		"Copine 6"
CPNE7		"Copine 7"
CPT1C	"CATL1, CPT1P, CPTIC, FLJ23809"	"Carnitine palmitoyltransferase 1C"
CRACD	"CRAD, KIAA1211"	"Capping protein inhibiting regulator of actin dynamics"
CRACDL	"C2orf55, KIAA1211L, MGC42367"	"CRACD like"
CRB2	"FLJ16786, FLJ38464"	"Crumbs cell polarity complex component 2"
CREB5	"CRE-BPA, H_GS165L15.1"	"CAMP responsive element binding protein 5"
CRHR2	"CRF-RB, CRF2, HM-CRF"	"Corticotropin releasing hormone receptor 2"
CRMP1	"DPYSL1, DRP-1"	"Collapsin response mediator protein 1"
CRTAC1	"ASPIC1, CEP-68, FLJ10320"	"Cartilage acidic protein 1"
CRYAB	"CRYA2, HSPB5"	"Crystallin alpha B"
CRYBA2		"Crystallin beta A2"
CRYBB2	"CCA2, CRYB2, CRYB2A"	"Crystallin beta B2"
CRYGS	CRYG8	"Crystallin gamma S"
CRYM	DFNA40	"Crystallin mu"
CSAG1	"CSAGE, CT24.1"	"Chondrosarcoma associated gene 1"
CSRNP3	"FAM130A2, FLJ32093, PPP1R73, TAIP-2"	"Cysteine and serine rich nuclear protein 3"
CST3		"Cystatin C"
CT45A5	"CT45-5, CT45.5"	"Cancer/testis antigen family 45 member A5"
CTNNA2	"CAP-R, CT114"	"Catenin alpha 2"
CTTNBP2	"C7orf8, CORTBP2, KIAA1758, Orf4"	"Cortactin binding protein 2"
CTXN1	FLJ25968	"Cortexin 1"
CTXN2		"Cortexin 2"
CTXND1	LINC01314	"Cortexin domain containing 1"
CX3CR1	"CCRL1, CMKBRL1, CMKDR1, GPR13, V28"	"C-X3-C motif chemokine receptor 1"
CXXC4	IDAX	"CXXC finger protein 4"
CYFIP2	PIR121	"Cytoplasmic FMR1 interacting protein 2"
CYP26B1	P450RAI-2	"Cytochrome P450 family 26 subfamily B member 1"
CYP7B1	SPG5A	"Cytochrome P450 family 7 subfamily B member 1"
DAAM2	KIAA0381	"Dishevelled associated activator of morphogenesis 2"
DAB1		"DAB adaptor protein 1"
DACH2		"Dachshund family transcription factor 2"
DACT2	"bA503C24.7, C6orf116, DAPPER2"	"Dishevelled binding antagonist of beta catenin 2"
DAGLA	"C11orf11, DAGLALPHA, KIAA0659, NSDDR"	"Diacylglycerol lipase alpha"
DBNDD1	"FLJ12582, MGC3101"	"Dysbindin domain containing 1"
DBNDD2	"C20orf35, HSMNP1"	"Dysbindin domain containing 2"
DCAF12L2	WDR40C	"DDB1 and CUL4 associated factor 12 like 2"
DCDC1	"DCDC5, FLJ46154"	"Doublecortin domain containing 1"
DCLK1	"DCAMKL1, DCDC3A, DCLK, KIAA0369"	"Doublecortin like kinase 1"
DCLK2	"DCAMKL2, DCDC3, DCDC3B, DCK2, MGC45428"	"Doublecortin like kinase 2"
DCLK3	"DCAMKL3, DCDC3C, KIAA1765"	"Doublecortin like kinase 3"
DCX	"DBCN, DC, LISX, SCLH, XLIS"	Doublecortin
DDAH1	DDAH	"Dimethylarginine dimethylaminohydrolase 1"
DEAF1	"NUDR, SPN, ZMYND5"	"DEAF1 transcription factor"
DGKG	DAGK3	"Diacylglycerol kinase gamma"
DGKH	DGKeta	"Diacylglycerol kinase eta"
DGKZ	"DAGK5, DAGK6, DGK-ZETA, hDGKzeta"	"Diacylglycerol kinase zeta"
DIP2B	"FLJ34278, KIAA1463"	"Disco interacting protein 2 homolog B"
DIPK1C	"C18orf51, FAM69C"	"Divergent protein kinase domain 1C"
DIRAS1	"Di-Ras1, GBTS1, RIG"	"DIRAS family GTPase 1"
DKK4		"Dickkopf WNT signaling pathway inhibitor 4"
DLG2	"chapsyn-110, PPP1R58, PSD-93, PSD93"	"Discs large MAGUK scaffold protein 2"
DLGAP1	"DAP-1, GKAP, SAPAP1"	"DLG associated protein 1"
DLGAP2	"C8orf68, DAP-2, ERICH1-AS1"	"DLG associated protein 2"
DLX2	TES-1	"Distal-less homeobox 2"
DLX6		"Distal-less homeobox 6"
DMRTC1		"DMRT like family C1"
DMRTC1B		"DMRT like family C1B"
DMTN	"DMT, EPB49"	"Dematin actin binding protein"
DNAH10	FLJ43808	"Dynein axonemal heavy chain 10"
DNAH3	"DKFZp434N074, DLP3, Dnahc3b, Hsadhc3"	"Dynein axonemal heavy chain 3"
DNAH5	"CILD3, Dnahc5, HL1, KTGNR, PCD"	"Dynein axonemal heavy chain 5"
DNAH6	"Dnahc6, DNHL1, FLJ37357, HL-2"	"Dynein axonemal heavy chain 6"
DNAH7	KIAA0944	"Dynein axonemal heavy chain 7"
DNAJA1	"dj-2, hdj-2, HSJ2, HSPF4, NEDD7"	"DnaJ heat shock protein family (Hsp40) member A1"
DNAJA4	PRO1472	"DnaJ heat shock protein family (Hsp40) member A4"
DNAJB1	"Hsp40, HSPF1, RSPH16B, Sis1"	"DnaJ heat shock protein family (Hsp40) member B1"
DNAJB2	"CMT2T, HSJ1, HSPF3"	"DnaJ heat shock protein family (Hsp40) member B2"
DNER	"bet, UNQ26"	"Delta/notch like EGF repeat containing"
DOC2A		"Double C2 domain alpha"
DOC2B	DOC2BL	"Double C2 domain beta"
DOCK10	"KIAA0694, ZIZ3"	"Dedicator of cytokinesis 10"
DOCK3	"KIAA0299, MOCA, PBP"	"Dedicator of cytokinesis 3"
DOCK4	"FLJ34238, KIAA0716"	"Dedicator of cytokinesis 4"
DOCK5	FLJ21034	"Dedicator of cytokinesis 5"
DOCK9	"KIAA1058, ZIZ1"	"Dedicator of cytokinesis 9"
DOK6	"DOK5L, HsT3226, MGC20785"	"Docking protein 6"
DPF3	"BAF45c, cer-d4, Cerd4, FLJ14079"	"Double PHD fingers 3"
DPP10	"DPL2, DPPY, DPRP3"	"Dipeptidyl peptidase like 10"
DPP6	"DPL1, DPPX"	"Dipeptidyl peptidase like 6"
DPYSL4	"CRMP3, DRP-4, ULIP4"	"Dihydropyrimidinase like 4"
DRD5	"DRD1B, DRD1L2"	"Dopamine receptor D5"
DRP2		"Dystrophin related protein 2"
DSEL	"C18orf4, DE-epi2, FLJ11477, NCAG1"	"Dermatan sulfate epimerase like"
DTX1	"hDx-1, RNF140"	"Deltex E3 ubiquitin ligase 1"
DTX4	"KIAA0937, RNF155"	"Deltex E3 ubiquitin ligase 4"
DUX4		"Double homeobox 4"
DYNC1I1	"DNCI1, DNCIC1"	"Dynein cytoplasmic 1 intermediate chain 1"
DYNC1LI2	DNCLI2	"Dynein cytoplasmic 1 light intermediate chain 2"
EBF3	"COE3, DKFZp667B0210"	"EBF transcription factor 3"
ECE2	"KIAA0604, MGC2408"	"Endothelin converting enzyme 2"
EFHD1	FLJ13612	"EF-hand domain family member D1"
EFNB3	"EPLG8, LERK-8"	"Ephrin B3"
EFR3B	"FLJ37871, KIAA0953"	"EFR3 homolog B"
EGR3	PILOT	"Early growth response 3"
EHD3	PAST3	"EH domain containing 3"
ELAPOR2	"EIG121L, FLJ31340, KIAA1324L"	"Endosome-lysosome associated apoptosis and autophagy regulator family member 2"
ELFN1	PPP1R28	"Extracellular leucine rich repeat and fibronectin type III domain containing 1"
ELMO1	"CED-12, CED12, ELMO-1, KIAA0281"	"Engulfment and cell motility 1"
ELP4	"C11orf19, PAXNEB"	"Elongator acetyltransferase complex subunit 4"
EMID1	"EMI5, EMU1, hEmu1"	"EMI domain containing 1"
EML5	"EMAP-2, FAP16, HuEMAP-2"	"EMAP like 5"
EN1		"Engrailed homeobox 1"
ENKUR	"C10orf63, CFAP106, enkurin, MGC26778"	"Enkurin, TRPC channel interacting protein"
ENO4	"AC023283.3, C10orf134"	"Enolase 4"
ENOX1	"cCNOX, CNOX, FLJ10094, PIG38"	"Ecto-NOX disulfide-thiol exchanger 1"
ENPP2	"ATX, PD-IALPHA, PDNP2"	"Ectonucleotide pyrophosphatase/phosphodiesterase 2"
ENPP6	MGC33971	"Ectonucleotide pyrophosphatase/phosphodiesterase 6"
